CONTROL,JJOBCOMP,JJOBCOMPYR,JJOBCOST,JJOBDIY,JJOBFUNDS,JJOBTYPE,JJOBWORKYR,JOBTYPE,JOBDIY,JOBCOST,JOBCOMP,JOBCOMPYR,JOBWORKYR,JOBFUNDS
'11000503','0','0','0','0','0','0','0','16','2',3000,'1','3','-6','1'
'11000503','0','0','0','0','0','0','0','29','1',500,'1','2','-6','1'
'11000503','0','0','0','0','0','0','0','33','2',0,'1','1','-6','1'
'11000504','0','0','0','0','0','0','0','21','2',600,'1','2','-6','1'
'11000504','0','0','0','0','0','0','0','22','2',600,'1','2','-6','1'
'11000504','0','0','0','0','0','0','0','30','2',100,'1','1','-6','1'
'11000504','0','0','0','0','0','0','0','32','2',200,'1','2','-6','1'
'11000504','0','0','0','0','0','0','0','33','2',200,'1','1','-6','1'
'11000561','0','0','0','0','0','0','0','29','1',900,'1','2','-6','1'
'11000562','0','0','0','0','0','0','0','23','2',1800,'1','3','-6','1'
'11000563','0','0','0','0','0','0','0','16','1',1000,'1','1','-6','1'
'11000569','0','0','0','0','0','0','0','29','2',1200,'1','3','-6','1'
'11000571','0','0','0','0','0','0','0','16','2',8000,'1','2','-6','1'
'11000571','0','0','0','0','0','0','0','21','2',2000,'1','2','-6','1'
'11000571','0','0','0','0','0','0','0','25','2',4000,'1','1','-6','1'
'11000571','0','0','0','0','0','0','0','30','2',200,'1','1','-6','1'
'11000585','0','0','0','0','0','0','0','12','1',20000,'1','2','-6','1'
'11000585','0','0','0','0','0','0','0','13','1',1000,'1','2','-6','1'
'11000585','0','0','0','0','0','0','0','25','1',1000,'1','2','-6','1'
'11000586','0','0','0','0','0','0','0','13','2',2000,'1','2','-6','1'
'11000586','0','0','0','0','0','0','0','30','2',400,'1','2','-6','1'
'11000590','0','0','0','0','0','0','0','18','2',380,'1','2','-6','5'
'11000590','0','0','2','0','0','0','0','21','2',610,'1','2','-6','7'
'11000590','0','0','2','0','0','0','0','29','2',690,'1','2','-6','6'
'11000592','0','0','2','0','0','0','0','16','2',6700,'1','-9','-6','-9'
'11000597','0','0','0','0','0','0','0','12','2',20000,'1','3','-6','1'
'11000597','0','0','0','0','0','0','0','18','2',2500,'1','3','-6','1'
'11000597','0','0','2','0','0','0','0','22','2',670,'1','3','-6','1'
'11000597','0','0','0','0','0','0','0','23','2',2800,'1','3','-6','1'
'11000597','0','0','2','0','0','0','0','24','2',450,'1','3','-6','1'
'11000603','0','0','0','0','0','0','0','15','1',2000,'1','2','-6','1'
'11000603','0','0','0','0','0','0','0','16','2',1600,'1','2','-6','1'
'11000603','0','0','0','0','0','0','0','24','1',250,'1','2','-6','1'
'11000603','0','0','0','0','0','0','0','32','2',1700,'1','2','-6','1'
'11000609','0','0','0','0','0','0','0','23','1',500,'1','1','-6','7'
'11000609','0','0','0','0','0','0','0','32','1',250,'1','3','-6','1'
'11000616','0','0','0','0','0','0','0','16','2',12000,'1','3','-6','4'
'11000617','0','0','0','0','0','0','0','16','1',2000,'1','1','-6','1'
'11000617','0','0','0','0','0','0','0','18','1',2000,'1','1','-6','1'
'11000617','0','0','0','0','0','0','0','27','2',2500,'1','1','-6','1'
'11000625','0','0','0','0','0','0','0','25','1',350,'2','-6','3','1'
'11000625','0','0','0','0','0','0','0','33','2',3800,'1','3','-6','6'
'11000630','0','0','2','0','0','0','0','30','2',800,'1','2','-6','1'
'11000637','0','0','0','0','0','0','0','16','1',1300,'2','-6','1','1'
'11000637','0','0','0','0','0','0','0','18','1',800,'2','-6','2','1'
'11000637','0','0','0','0','0','0','0','27','1',1700,'1','3','-6','1'
'11000654','0','0','0','0','0','0','0','12','1',4500,'1','1','-6','1'
'11000654','0','0','0','0','0','0','0','22','1',4500,'1','1','-6','1'
'11000654','0','0','0','0','0','0','0','24','2',400,'1','1','-6','1'
'11000660','0','0','0','0','0','0','0','11','1',47400,'1','1','-6','1'
'11000660','0','0','0','0','0','0','0','29','1',650,'1','1','-6','1'
'11000660','0','0','0','0','0','0','0','30','1',550,'1','3','-6','1'
'11000662','0','0','0','0','0','0','0','15','2',14000,'1','2','-6','1'
'11000662','0','0','0','0','0','0','0','16','2',6000,'1','1','-6','1'
'11000662','0','0','0','0','0','0','0','27','2',9000,'1','1','-6','1'
'11000667','0','0','0','0','0','0','0','24','1',200,'1','2','-6','1'
'11000669','0','0','2','0','0','0','0','22','2',530,'1','2','-6','1'
'11000669','0','0','0','0','0','0','0','26','2',3000,'1','2','-6','1'
'11000669','0','0','2','0','0','0','0','29','2',890,'1','2','-6','1'
'11000676','0','0','0','0','0','0','0','21','2',900,'1','1','-6','1'
'11000676','0','0','0','0','0','0','0','22','1',900,'1','1','-6','5'
'11000676','0','0','0','0','0','0','0','23','1',50,'1','1','-6','1'
'11000676','0','0','2','0','0','0','0','25','2',2400,'1','1','-6','5'
'11000676','0','0','0','0','0','0','0','29','2',2300,'1','2','-6','6'
'11000676','0','0','2','0','0','0','0','30','1',270,'1','1','-6','5'
'11000679','0','0','0','0','0','0','0','12','1',5000,'1','2','-6','5'
'11000679','0','0','0','0','0','0','0','16','2',1500,'1','2','-6','7'
'11000679','0','0','0','0','0','0','0','21','2',200,'1','2','-6','5'
'11000679','0','0','0','0','0','0','0','22','1',3000,'1','2','-6','5'
'11000679','0','0','0','0','0','0','0','25','2',700,'1','2','-6','5'
'11000680','0','0','2','0','0','0','0','17','1',920,'1','-9','-6','-9'
'11000680','0','0','2','0','0','0','0','20','1',280,'1','1','-6','-9'
'11000680','0','0','0','0','0','0','0','29','2',500,'1','2','-6','1'
'11000693','0','0','2','0','0','0','0','26','2',4600,'1','2','-6','6'
'11000693','0','0','2','0','0','0','0','27','2',3200,'1','2','-6','6'
'11000693','0','0','0','0','0','0','0','29','1',250,'1','2','-6','1'
'11000701','0','0','2','0','0','0','0','10','1',4400,'1','1','-6','5'
'11000701','0','0','2','0','0','0','0','11','1',6600,'1','2','-6','1'
'11000701','0','0','2','0','0','0','0','13','1',8800,'1','1','-6','5'
'11000701','0','0','0','0','0','0','0','16','1',100,'1','1','-6','1'
'11000701','0','0','2','0','0','0','0','17','1',2600,'1','2','-6','1'
'11000701','0','0','0','0','0','0','0','18','1',500,'2','-6','2','1'
'11000701','0','0','2','0','0','0','0','20','1',880,'1','2','-6','1'
'11000701','0','0','0','0','0','0','0','21','2',1000,'1','2','-6','1'
'11000701','0','0','2','0','0','0','0','22','2',1800,'1','2','-6','1'
'11000701','0','0','2','0','0','0','0','23','2',3500,'1','2','-6','1'
'11000701','0','0','2','0','0','0','0','25','1',3100,'1','2','-6','1'
'11000701','0','0','2','0','0','0','0','30','2',3200,'1','1','-6','5'
'11000701','0','0','2','0','0','0','0','32','2',8800,'1','1','-6','5'
'11000701','0','0','0','0','0','0','0','33','1',100,'1','3','-6','1'
'11000701','0','0','2','0','0','0','0','36','2',4400,'1','1','-6','5'
'11000701','0','0','0','0','0','0','0','37','1',80,'1','3','-6','1'
'11000703','0','0','0','0','0','0','0','12','2',52000,'1','2','-6','2'
'11000703','0','0','0','0','0','0','0','13','2',97000,'1','2','-6','2'
'11000719','0','0','0','0','0','0','0','25','2',1600,'1','2','-6','1'
'11000728','0','0','0','0','0','0','0','18','2',1400,'1','3','-6','1'
'11000731','0','0','0','0','0','0','0','15','2',10000,'1','2','-6','1'
'11000731','0','0','0','0','0','0','0','18','2',1000,'1','2','-6','1'
'11000732','0','0','0','0','0','0','0','25','2',4000,'2','-6','2','1'
'11000732','0','0','0','0','0','0','0','36','2',1500,'2','-6','3','1'
'11000732','0','0','0','0','0','0','0','37','2',20100,'2','-6','1','1'
'11000732','0','0','0','0','0','0','0','37','2',-9,'2','-6','1','1'
'11000732','0','0','0','0','0','0','0','37','2',0,'1','3','-6','1'
'11000734','0','0','0','0','0','0','0','15','2',5000,'1','2','-6','1'
'11000734','0','0','0','0','0','0','0','18','2',200,'1','3','-6','1'
'11000734','0','0','0','0','0','0','0','24','2',600,'1','3','-6','1'
'11000734','0','0','0','0','0','0','0','31','2',2000,'1','3','-6','1'
'11000739','0','0','0','0','0','0','0','18','2',11000,'1','1','-6','1'
'11000739','0','0','0','0','0','0','0','25','1',400,'1','3','-6','1'
'11000739','0','0','0','0','0','0','0','27','2',8000,'1','1','-6','1'
'11000739','0','0','0','0','0','0','0','29','2',0,'1','1','-6','1'
'11000742','0','0','2','0','0','0','0','22','1',190,'1','1','-6','1'
'11000746','0','0','0','0','0','0','0','12','2',5000,'1','2','-6','1'
'11000746','0','0','0','0','0','0','0','16','2',20000,'1','3','-6','1'
'11000746','0','0','0','0','0','0','0','27','2',2000,'1','2','-6','1'
'11000747','0','0','0','0','0','0','0','13','2',5000,'1','3','-6','1'
'11000747','0','0','0','0','0','0','0','16','2',8000,'1','3','-6','1'
'11000747','0','0','0','0','0','0','0','29','2',700,'1','3','-6','1'
'11000749','0','0','0','0','0','0','0','16','1',8000,'1','2','-6','1'
'11000749','0','0','0','0','0','0','0','21','2',2300,'1','3','-6','1'
'11000749','0','0','0','0','0','0','0','23','2',2300,'1','3','-6','1'
'11000749','0','0','0','0','0','0','0','28','2',3700,'2','-6','3','3'
'11000749','0','0','0','0','0','0','0','29','2',1400,'1','3','-6','1'
'11000752','0','0','0','0','0','0','0','12','2',15000,'1','2','-6','7'
'11000752','0','0','0','0','0','0','0','13','2',44700,'2','-6','2','7'
'11000752','0','0','0','0','0','0','0','16','2',17000,'1','2','-6','7'
'11000752','0','0','2','0','0','0','0','21','2',1200,'1','2','-6','7'
'11000752','0','0','0','0','0','0','0','22','2',0,'1','2','-6','7'
'11000752','0','0','2','0','0','0','0','23','2',1000,'1','2','-6','7'
'11000752','0','0','2','0','0','0','0','25','2',3000,'1','2','-6','7'
'11000752','0','0','0','0','0','0','0','30','2',1000,'1','2','-6','7'
'11000765','0','0','2','0','0','0','0','22','1',60,'1','1','-6','1'
'11000765','0','0','2','0','0','0','0','24','1',90,'1','3','-6','1'
'11000765','0','0','2','0','0','0','0','25','1',210,'1','3','-6','5'
'11000768','0','0','0','0','0','0','0','12','2',6600,'1','2','-6','1'
'11000768','0','0','0','0','0','0','0','21','2',0,'1','2','-6','7'
'11000768','0','0','0','0','0','0','0','22','2',6600,'1','2','-6','1'
'11000781','0','0','0','0','0','0','0','30','2',800,'1','2','-6','5'
'11000783','0','0','0','0','0','0','0','18','1',120,'1','2','-6','1'
'11000783','0','0','0','0','0','0','0','22','1',350,'1','3','-6','1'
'11000783','0','0','0','0','0','0','0','29','2',5200,'2','-6','3','3'
'11000783','0','0','0','0','0','0','0','33','2',0,'1','2','-6','7'
'11000805','0','0','0','0','0','0','0','17','1',200,'1','3','-6','1'
'11000807','0','0','0','0','0','0','0','18','2',500,'1','2','-6','1'
'11000808','0','0','0','0','0','0','0','18','2',5000,'1','2','-6','1'
'11000834','0','0','0','0','0','0','0','30','2',600,'1','3','-6','1'
'11000834','0','0','0','0','0','0','0','33','2',1000,'1','3','-6','1'
'11000840','0','0','0','0','0','0','0','16','2',14000,'1','2','-6','1'
'11000842','0','0','2','0','0','0','0','15','2',6000,'1','1','-6','1'
'11000845','0','0','0','0','0','0','0','29','2',1500,'1','2','-6','1'
'11000845','0','0','0','0','0','0','0','33','2',400,'1','3','-6','1'
'11000848','0','0','0','0','0','0','0','25','2',5000,'1','2','-6','5'
'11000850','0','0','0','0','0','0','0','25','2',2500,'1','2','-6','1'
'11000857','0','0','0','0','0','0','0','29','2',2500,'1','2','-6','1'
'11000857','0','0','0','0','0','0','0','36','2',1900,'1','3','-6','1'
'11000860','0','0','0','0','0','0','0','15','1',10000,'1','3','-6','1'
'11000860','0','0','0','0','0','0','0','17','2',39600,'1','3','-6','4'
'11000860','0','0','0','0','0','0','0','18','2',3000,'1','2','-6','1'
'11000860','0','0','0','0','0','0','0','36','2',3000,'1','3','-6','1'
'11000861','0','0','0','0','0','0','0','19','2',4000,'1','3','-6','1'
'11000861','0','0','0','0','0','0','0','33','2',4000,'1','3','-6','1'
'11000867','0','0','0','0','0','0','0','32','2',6000,'1','2','-6','7'
'11000867','0','0','0','0','0','0','0','35','2',9800,'1','3','-6','7'
'11000876','0','0','0','0','0','0','0','12','2',2600,'1','2','-6','1'
'11000876','0','0','0','0','0','0','0','15','1',2600,'1','2','-6','1'
'11000876','0','0','0','0','0','0','0','18','2',500,'1','1','-6','1'
'11000876','0','0','0','0','0','0','0','36','1',200,'1','2','-6','1'
'11000879','0','0','0','0','0','0','0','21','2',4000,'1','2','-6','1'
'11000879','0','0','0','0','0','0','0','29','2',1500,'1','2','-6','1'
'11000885','0','0','0','0','0','0','0','33','1',500,'1','2','-6','1'
'11000887','0','0','0','0','0','0','0','32','1',100,'2','-6','3','1'
'11000893','0','0','0','0','0','0','0','18','1',60,'1','3','-6','1'
'11000893','0','0','2','0','0','0','0','29','2',800,'1','3','-6','1'
'11000896','0','0','0','0','0','0','0','13','2',5000,'1','2','-6','1'
'11000901','0','0','0','0','0','0','0','05','2',44600,'1','2','-6','1'
'11000904','0','0','0','0','0','0','0','22','2',1500,'1','3','-6','1'
'11000905','0','0','0','0','0','0','0','30','1',500,'1','2','-6','5'
'11000907','0','0','0','0','0','0','0','33','2',1400,'1','3','-6','5'
'11000908','0','0','0','0','0','0','0','22','2',5000,'1','2','-6','1'
'11000908','0','0','0','0','0','0','0','31','2',2200,'1','2','-6','1'
'11000908','0','0','0','0','0','0','0','31','2',5400,'1','2','-6','1'
'11000909','0','0','2','0','0','0','0','29','2',1100,'1','1','-6','7'
'11000919','0','0','0','0','0','0','0','18','1',5000,'1','3','-6','1'
'11000919','0','0','0','0','0','0','0','22','1',3000,'1','1','-6','1'
'11000919','0','0','0','0','0','0','0','23','1',200,'1','3','-6','1'
'11000919','0','0','0','0','0','0','0','24','1',2000,'1','2','-6','1'
'11000919','0','0','0','0','0','0','0','25','1',4000,'1','3','-6','1'
'11000919','0','0','0','0','0','0','0','27','1',350,'1','2','-6','1'
'11000925','0','0','0','0','0','0','0','27','2',11000,'1','1','-6','1'
'11000928','0','0','0','0','0','0','0','22','2',17900,'1','2','-6','1'
'11000928','0','0','0','0','0','0','0','30','2',1000,'1','3','-6','1'
'11000928','0','0','0','0','0','0','0','33','2',4000,'1','2','-6','1'
'11000932','0','0','0','0','0','0','0','25','2',2800,'1','2','-6','1'
'11000936','0','0','0','0','0','0','0','12','1',10000,'1','2','-6','7'
'11000936','0','0','0','0','0','0','0','29','2',1300,'1','2','-6','1'
'11000936','0','0','0','0','0','0','0','30','2',1000,'1','2','-6','1'
'11000945','0','0','0','0','0','0','0','24','2',500,'1','3','-6','1'
'11000953','0','0','2','0','0','0','0','08','2',16000,'1','3','-6','1'
'11000953','0','0','2','0','0','0','0','11','2',19000,'1','3','-6','1'
'11000953','0','0','2','0','0','0','0','18','2',4000,'1','3','-6','1'
'11000953','0','0','2','0','0','0','0','25','2',4800,'1','3','-6','1'
'11000953','0','0','2','0','0','0','0','26','2',8000,'1','3','-6','1'
'11000953','0','0','2','0','0','0','0','27','2',5100,'1','3','-6','1'
'11000953','0','0','2','0','0','0','0','30','2',800,'1','3','-6','1'
'11000955','0','0','0','0','0','0','0','23','2',4000,'1','3','-6','1'
'11000956','0','0','0','0','0','0','0','25','1',350,'1','2','-6','1'
'11000956','0','0','2','0','0','0','0','29','1',500,'1','2','-6','1'
'11000956','0','0','2','0','0','0','0','32','1',500,'1','2','-6','1'
'11000963','0','0','0','0','0','0','0','25','1',3000,'1','2','-6','1'
'11000967','0','0','0','0','0','0','0','36','2',26500,'1','3','-6','1'
'11000969','0','0','0','0','0','0','0','32','2',3800,'1','3','-6','1'
'11000969','0','0','0','0','0','0','0','36','1',1000,'1','3','-6','1'
'11000971','0','0','0','0','0','0','0','33','2',1000,'1','2','-6','1'
'11000992','0','0','0','0','0','0','0','11','1',10000,'1','2','-6','1'
'11000992','0','0','0','0','0','0','0','15','2',5700,'1','2','-6','1'
'11000992','0','0','0','0','0','0','0','16','2',9000,'1','1','-6','1'
'11000992','0','0','0','0','0','0','0','18','1',5000,'1','2','-6','1'
